name,carrier,Region,bus,REZ Location,Fuel/Technology type,p_nom,Summer Rating (MW),Not Summer Rating (MW),Maintenance duration (%),Maximum Capacity Factor (%),FOM ($/kW/annum),VOM ($/MWh sent-out),Heat Rate (GJ/MWh HHV s.o.),Fuel Cost ($/GJ),Emissions (kg/MWh),MLF,Auxiliary Load (%),marginal_cost,expected_retirement_year,min_output,p_min_pu,control,type,p_nom_extendable,p_nom_min,p_nom_max,p_max_pu,p_set,q_set,sign,build_year,lifetime,capital_cost,efficiency,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p,q,p_nom_iot,status,mu_upper,mu_lower,mu_p_set,mu_ramp_limit_up,mu_ramp_limit_down
Mannum Adelaide Pumping Station No 3 - MAPL3 (Kanmantoo),Solar,SA,SA,South East SA,Solar,16.62,15.618,16.62,0,N/A,17.614,0,0,0,0,1.011,0.2,0,2041,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,41,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Maryrorough Solar Farm,Solar,QLD,SQ,Darling Downs,Solar,34.5,0,0,0,N/A,17.614,0,0,0,0,0.979,0.2,0,2048,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,48,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Metz Solar Farm,Solar,NSW,NNSW,New England,Solar,135,107.082,115.02,0,N/A,17.614,0,0,0,0,0.871,0.2,0,2052,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,52,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Middlemount Sun Farm,Solar,QLD,CNQ,Isaac,Solar,26,26,26,0,N/A,17.614,0,0,0,0,0.924,0.2,0,2050,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,50,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Molong Solar Farm,Solar,NSW,CNSW,Central-West Orana,Solar,36.08,32.406,32.406,0,N/A,17.614,0,0,0,0,0.954,0.2,0,2051,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,51,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Moree Solar Farm,Solar,NSW,NNSW,North West NSW,Solar,56,56,56,0,N/A,17.614,0,0,0,0,0.893,0.2,0,2046,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,46,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Morgan To Whyalla Pipeline No 1 PS And Water Filtration Plant,Solar,SA,SA,Riverland,Solar,6.12,5.76,6.128,0,N/A,17.614,0,0,0,0,1.027,0.2,0,2031,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,31,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Morgan To Whyalla Pipeline No 2 PS,Solar,SA,SA,Riverland,Solar,5.88,5.508,5.86,0,N/A,17.614,0,0,0,0,0.966,0.2,0,2041,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,41,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Morgan To Whyalla Pipeline No 3 PS,Solar,SA,SA,Riverland,Solar,7.38,6.93,7.371,0,N/A,17.614,0,0,0,0,0.972,0.2,0,2045,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,45,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
Morgan To Whyalla Pipeline No 4 PS,Solar,SA,SA,Riverland,Solar,5.88,5.508,5.86,0,N/A,17.614,0,0,0,0,0.975,0.2,0,2041,0,0,PQ,,FALSE,0,inf,1,0,0,1,2000,41,0,1,TRUE,0,0,0,0,1,0,NaN,NaN,,,,,,,,,,,
